234,"Shabazz Muhammad, SG",Minnesota Timberwolves,"$3,046,299 "
235,"Justin Hamilton, C",Brooklyn Nets,"$3,000,000 "
236,"Tibor Pleiss, C",Philadelphia 76ers,"$3,000,000 "
237,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$2,995,421 "
238,"Nik Stauskas, SG",Philadelphia 76ers,"$2,993,040 "
239,"Dante Cunningham, SF",New Orleans Pelicans,"$2,978,250 "
240,"Stanley Johnson, SF",Detroit Pistons,"$2,969,880 "
241,"Marquese Chriss, PF",Phoenix Suns,"$2,941,440 "
242,"Dion Waiters, SG",Miami Heat,"$2,898,000 "
243,"James Ennis III, SF",Memphis Grizzlies,"$2,898,000 "
244,"Nene Hilario, C",Houston Rockets,"$2,898,000 "
245,"Dewayne Dedmon, C",San Antonio Spurs,"$2,898,000 "
246,"Tomas Satoransky, SF",Washington Wizards,"$2,870,813 "
247,"Noah Vonleh, PF",Portland Trail Blazers,"$2,751,360 "
248,"Frank Kaminsky, PF",Charlotte Hornets,"$2,730,000 "
249,"Dennis Schroder, PG",Atlanta Hawks,"$2,708,582 "
250,"Jakob Poeltl, C",Toronto Raptors,"$2,703,960 "
RK,NAME,TEAM,SALARY
251,"Aaron Brooks, PG",Indiana Pacers,"$2,700,000 "
252,"Elfrid Payton, PG",Orlando Magic,"$2,613,600 "
253,"Justise Winslow, SF",Miami Heat,"$2,593,440 "
254,"Thon Maker, C",Milwaukee Bucks,"$2,568,600 "
255,"Randy Foye, SG",Brooklyn Nets,"$2,500,000 "
256,"Richard Jefferson, SF",Cleveland Cavaliers,"$2,500,000 "
257,"Malcolm Delaney, PG",Atlanta Hawks,"$2,500,000 "
258,"Doug McDermott, SF",Oklahoma City Thunder,"$2,483,040 "
259,"Myles Turner, C",Indiana Pacers,"$2,463,840 "
260,"Domantas Sabonis, C",Oklahoma City Thunder,"$2,440,200 "
RK,NAME,TEAM,SALARY
261,"Shelvin Mack, PG",Utah Jazz,"$2,433,334 "
262,"Tony Snell, SG",Milwaukee Bucks,"$2,368,327 "
263,"Gorgui Dieng, C",Minnesota Timberwolves,"$2,348,783 "
264,"Trey Lyles, PF",Utah Jazz,"$2,340,600 "
265,"Mason Plumlee, C",Portland Trail Blazers,"$2,328,530 "
266,"Dario Saric, PF",Philadelphia 76ers,"$2,318,280 "
267,"Taurean Prince, SF",Atlanta Hawks,"$2,318,280 "
268,"Tim Hardaway Jr., SF",Atlanta Hawks,"$2,281,605 "
269,"Reggie Bullock, SF",Detroit Pistons,"$2,255,644 "
270,"Zach LaVine, PG",Minnesota Timberwolves,"$2,240,880 "
RK,NAME,TEAM,SALARY
271,"Devin Booker, SG",Phoenix Suns,"$2,223,600 "
272,"Luc Mbah a Moute, PF",LA Clippers,"$2,203,000 "
273,"Georgios Papagiannis, C",Sacramento Kings,"$2,202,240 "
274,"Mo Williams, PG",Denver Nuggets,"$2,194,500 "
275,"Andre Roberson, SG",Oklahoma City Thunder,"$2,183,072 "
276,"Joe Ingles, SF",Utah Jazz,"$2,150,000 "
277,"TJ Warren, SF",Phoenix Suns,"$2,128,920 "
278,"Rudy Gobert, C",Utah Jazz,"$2,121,288 "
279,"Cameron Payne, PG",Oklahoma City Thunder,"$2,112,480 "
280,"Denzel Valentine, SF",Chicago Bulls,"$2,092,200 "
281,"Tim Frazier, PG",New Orleans Pelicans,"$2,090,000 "
282,"Kendall Marshall, PG",Milwaukee Bucks,"$2,048,257 "
283,"Adreian Payne, PF",Minnesota Timberwolves,"$2,022,240 "
284,"Kelly Oubre Jr., SF",Washington Wizards,"$2,006,640 "
285,"Juan Hernangomez, PF",Denver Nuggets,"$1,987,440 "
286,"Lucas Nogueira, C",Toronto Raptors,"$1,921,320 "
287,"Jusuf Nurkic, C",Portland Trail Blazers,"$1,921,320 "
288,"Terry Rozier, PG",Boston Celtics,"$1,906,440 "
289,"James Young, SG",Boston Celtics,"$1,825,200 "
290,"Rashad Vaughn, SG",Milwaukee Bucks,"$1,811,040 "
RK,NAME,TEAM,SALARY
291,"Kevin Seraphin, C",Indiana Pacers,"$1,800,000 "
292,"Wade Baldwin IV, PG",Memphis Grizzlies,"$1,793,760 "
293,"Quincy Acy, SF",Brooklyn Nets,"$1,790,092 "
294,"Tyler Ennis, PG",Los Angeles Lakers,"$1,733,880 "
295,"Sam Dekker, SF",Houston Rockets,"$1,720,560 "
296,"Joffrey Lauvergne, C",Oklahoma City Thunder,"$1,709,719 "
297,"Henry Ellenson, PF",Detroit Pistons,"$1,704,120 "
298,"Gary Harris, SG",Denver Nuggets,"$1,655,880 "
299,"Jerian Grant, PG",Chicago Bulls,"$1,643,040 "
300,"Malik Beasley, SG",Denver Nuggets,"$1,627,320 "
RK,NAME,TEAM,SALARY
301,"Bruno Caboclo, SF",Toronto Raptors,"$1,589,640 "
302,"Delon Wright, PG",Toronto Raptors,"$1,577,280 "
303,"Caris LeVert, SG",Brooklyn Nets,"$1,562,280 "
304,"David Lee, PF",San Antonio Spurs,"$1,551,659 "
305,"Caron Butler, SF",Sacramento Kings,"$1,551,659 "
306,"Mitch McGary, PF",Oklahoma City Thunder,"$1,526,040 "
307,"Justin Anderson, SG",Philadelphia 76ers,"$1,514,160 "
308,"Marcelo Huertas, PG",Los Angeles Lakers,"$1,500,000 "
309,"DeAndre' Bembry, SF",Atlanta Hawks,"$1,499,760 "
310,"Jordan Adams, SG",Memphis Grizzlies,"$1,465,080 "
RK,NAME,TEAM,SALARY
311,"Bobby Portis, PF",Chicago Bulls,"$1,453,680 "
312,"Demetrius Jackson, PG",Boston Celtics,"$1,450,000 "
313,"Malachi Richardson, SG",Sacramento Kings,"$1,439,800 "
314,"Rodney Hood, SG",Utah Jazz,"$1,406,520 "
315,"Marreese Speights, PF",LA Clippers,"$1,403,611 "
316,"JaVale McGee, C",Golden State Warriors,"$1,403,611 "
317,"Rondae Hollis-Jefferson, SF",Brooklyn Nets,"$1,395,600 "
318,"Deyonta Davis, C",Memphis Grizzlies,"$1,369,299 "
319,"Nikola Jokic, C",Denver Nuggets,"$1,358,500 "
320,"Shabazz Napier, PG",Portland Trail Blazers,"$1,350,120 "
321,"Willy Hernangomez, C",New York Knicks,"$1,350,000 "
322,"Guillermo Hernangomez, C",New York Knicks,"$1,350,000 "
323,"Tyus Jones, PG",Minnesota Timberwolves,"$1,339,680 "
324,"Sasha Kaun, C",Philadelphia 76ers,"$1,333,240 "
325,"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,"$1,326,960 "
326,"Clint Capela, C",Houston Rockets,"$1,296,240 "
327,"Jarell Martin, PF",Memphis Grizzlies,"$1,286,160 "
328,"Brice Johnson, PF",LA Clippers,"$1,273,920 "
329,"Jeremy Evans, SF",Atlanta Hawks,"$1,227,286 "
330,"Luke Babbitt, SF",Miami Heat,"$1,227,286 "
RK,NAME,TEAM,SALARY
331,"Jordan Mickey, C",Boston Celtics,"$1,223,653 "
332,"CJ Wilcox, SG",Orlando Magic,"$1,209,600 "
333,"Larry Nance Jr., PF",Los Angeles Lakers,"$1,207,680 "
334,"Pascal Siakam, PF",Toronto Raptors,"$1,196,040 "
335,"Kyle Anderson, SF",San Antonio Spurs,"$1,192,080 "
336,"Chris McCullough, PF",Washington Wizards,"$1,191,480 "
337,"Josh Huestis, SF",Oklahoma City Thunder,"$1,191,480 "
338,"Livio Jean-Charles, SF",San Antonio Spurs,"$1,188,840 "
339,"Skal Labissiere, PF",Sacramento Kings,"$1,188,840 "
340,"Kevon Looney, SF",Golden State Warriors,"$1,182,840 "
RK,NAME,TEAM,SALARY
341,"Dejounte Murray, PG",San Antonio Spurs,"$1,180,080 "
342,"Damian Jones, C",Golden State Warriors,"$1,171,560 "
343,"Isaiah Whitehead, SG",Brooklyn Nets,"$1,074,145 "
344,"Joe Young, PG",Indiana Pacers,"$1,052,342 "
345,"Rakeem Christmas, PF",Indiana Pacers,"$1,052,342 "
346,"Tony Wroten, SG",Memphis Grizzlies,"$1,050,961 "
347,"Chris Johnson, SG",Houston Rockets,"$1,050,961 "
348,"John Jenkins, SG",Phoenix Suns,"$1,050,961 "
349,"Glenn Robinson III, SG",Indiana Pacers,"$1,050,500 "
350,"Montrezl Harrell, PF",Houston Rockets,"$1,045,000 "
RK,NAME,TEAM,SALARY
